X	rep	beta0	beta	q	sim_hash	sim_id	seed
X_bin_med	3	-2	4	1	346bc6e21a586e212811b6b1029bf8db	346bc	214716
X_bin_med	3	-2	4	3	7e6a8dbe27c3c579372a2a79233163a5	7e6a8	517800
X_bin_med	3	-2	4	5	9097e3efd675db3e9bdf86085bd7a81c	9097e	592254
X_bin_med	4	-5	0.5	1	34a77ac8579e8219d2e3d8c6cae8a980	34a77	215671
X_bin_med	4	-5	0.5	3	0d40571e61aae93fa70ce692a6677979	0d405	54277
X_bin_med	4	-5	0.5	5	590c855bca73f92216c272cfd91fcd86	590c8	364744
X_bin_med	4	-5	1	1	a3853d6877d9c315f4fa4afaeabf770c	a3853	669779
X_bin_med	4	-5	1	3	ed34a20f7dee06508ebb00589a6dfcb7	ed34a	971594
X_bin_med	4	-5	1	5	1e2775fa2cf23d1cbc64bf7d246bf96f	1e277	123511
X_bin_med	4	-5	2	1	be6e65b480e8978bdbfc4c2cc250684a	be6e6	780006
X_bin_med	4	-5	2	3	8ad362edd2761a8f364f4dc72ea14328	8ad36	568630
X_bin_med	4	-5	2	5	437cf2f32cdf21315eba599856d8a8d8	437cf	276431
X_bin_med	4	-5	4	1	824066e7051b8114e7f13d6e5e9fff26	82406	533510
X_bin_med	4	-5	4	3	92e77e1b9448622e49750548c91666ff	92e77	601719
X_bin_med	4	-5	4	5	461f35482141bcc5147caf6736af3c9e	461f3	287219
X_bin_med	4	-4	0.5	1	01b72ef79c329dab190bfd54e583e42c	01b72	7026
X_bin_med	4	-4	0.5	3	0bf778448a284543d9e732b8efa545b1	0bf77	49015
X_bin_med	4	-4	0.5	5	dd3d28d31772db4060c30bb2624ab819	dd3d2	906194
X_bin_med	4	-4	1	1	166e7e607cce492e53349a8912761b68	166e7	91879
X_bin_med	4	-4	1	3	9c6b4b83f2cc1c96e46d7395ea4b87ff	9c6b4	640692
X_bin_med	4	-4	1	5	5e0dc9b146e9eac565652ce85c528f1e	5e0dc	385244
X_bin_med	4	-4	2	1	5b2ee7a773d6b62e578c8171d2b8cf0a	5b2ee	373486
X_bin_med	4	-4	2	3	d1073ef4571ae06c6cdbf46bef45c960	d1073	856179
X_bin_med	4	-4	2	5	03cc63c21351fe0023850775fcf4bfd1	03cc6	15558
X_bin_med	4	-4	4	1	bdd486a6ff6027f8a267ac9af18343c1	bdd48	777544
X_bin_med	4	-4	4	3	b7340364cb6739e67908b2dfedaecf05	b7340	750400
X_bin_med	4	-4	4	5	d5e608a6b28ef10a74e597b15733ec67	d5e60	876128
X_bin_med	4	-3	0.5	1	d0231bb4a81757aa165af29542001f99	d0231	852529
X_bin_med	4	-3	0.5	3	f9f9ecda14506dd20c8297eceebe3268	f9f9e	1023902
X_bin_med	4	-3	0.5	5	510e348d36b2b53485fd085668c29b78	510e3	332003
X_bin_med	4	-3	1	1	310cf3a324dcae7da970eff8c7ecf6e1	310cf	200911
X_bin_med	4	-3	1	3	d2c350bab3be4539bfbfe3408e16d576	d2c35	863285
X_bin_med	4	-3	1	5	f462fa49d7c7d582a414e0644c03ebb6	f462f	1001007
X_bin_med	4	-3	2	1	9a676de4df4b2571e2c7d37eed03c25f	9a676	632438
X_bin_med	4	-3	2	3	4a3773ed73fbcb6662b1799bf2fc8d2d	4a377	303991
X_bin_med	4	-3	2	5	551aff06c0072c5fb3006eb694435eb1	551af	348591
X_bin_med	4	-3	4	1	c5e122de8fd7355d3a7ccc596377a0c5	c5e12	810514
